"Env","Genotype","Trait1","Trait2","Trait3","Trait4"
"1","26662",179.507473207318,32.6193114885899,63.4113610759655,14.8985447125708
"1","30678",161.259720378381,33.9727544500328,80.5258056096938,19.1904804929801
"1","30129",164.27014422183,35.1095566775686,60.1434126743581,27.2449773959563
"1","28907",156.891517890361,34.0306290687594,72.2662208017272,23.3759432337695
"1","30522",159.787431332575,37.0511453706512,64.5343574794182,11.4127386522598
"1","26995",165.12537410803,36.3013511174351,72.9961115915451,15.5227851898451
"1","28468",153.904219079772,30.6927962151452,61.3750604026128,16.8295651532735
"1","31681",151.152563520571,37.014162957341,64.8912909494057,21.7395192798441
"1","26661",171.270920348531,31.0320980278317,73.1417323868965,16.0828522200404
"1","30398",175.126190952778,29.4860177798322,70.7675990188158,25.7553217608118
"1","29097",157.742984935259,30.8155768510664,67.5851280348853,20.7793878400035
"1","28200",153.653057229823,31.1422756739416,70.3775216753037,16.7548182040386
"1","30128",160.372828255379,29.1527891232853,61.2768639504957,20.6502985325951
"1","27810",155.085871836011,37.8711647954522,67.2682561847215,9.14902983748357
"1","27996",169.103869416171,28.8737692909137,80.8694445265254,25.6898839146964
"1","26672",176.698983977055,24.3688956906896,67.4479454820078,22.2858927708002
"1","29786",171.89016698353,31.6182683196663,66.3062578330755,25.9148070375807
"1","29734",159.38637434425,31.46776061745,67.1713507930875,17.3084074476598
"1","26632",176.017245497356,39.0966201156484,56.3744071218366,15.3229728432827
"1","26665",167.730850606672,32.9336670755653,65.7223195763494,4.79030678609131
"1","30734",146.981140850528,32.7384297752696,79.4265639429738,14.9002481557101
"1","30141",161.577801463154,37.4810797336649,72.6386291721749,20.8454796324263
"1","31549",160.77206282059,39.3841899465372,67.1668350760475,20.310463531119
"1","31297",155.673491298906,32.4285882024454,61.3463071483094,22.0641793415671
"1","31222",149.337707966868,40.0203805216014,60.9680423426466,20.6311328287067
"1","29472",168.337649416534,32.5383487321671,69.1611211032449,19.5684256350394
"1","28266",170.412597297821,34.7110084085637,65.1492604455693,14.800064724114
"1","26865",150.639998601575,34.4260005699501,76.6986202601538,17.7001671680386
"1","32347",156.800601297213,31.4927814632295,74.7647293002982,18.3463648116371
"1","27755",147.5206552871,38.3539838439154,58.5785727981194,23.4443719940238
"1","27930",175.647688917261,29.800674792387,75.3624569175262,13.4623344472841
"1","30127",147.220592396498,37.3859202288573,60.8318090757373,29.9580411820885
"1","31566",159.768831517708,32.4705170482513,68.2123266974406,27.886022343629
"1","27803",158.960993258261,42.3025521980985,63.8406206014187,23.7913769791022
"1","31498",152.917284832025,35.3110946246262,67.8686655418235,17.3842769716107
"1","30886",157.329564901273,29.2109209306008,72.570005800534,15.9623704244204
"1","27644",155.852930754097,32.1463707585779,62.6540422926428,21.0711849014976
"1","27504",150.013004480163,35.1694527715222,65.139785897467,14.2640113673235
"1","28259",154.596308162162,40.5315922573138,63.0416514645654,22.3579307052248
"1","31804",127.671838675655,35.2558842041113,63.7064652880731,24.0342865353593
"1","27071",160.677882654437,37.1841550057836,71.7977663486452,14.3892954006426
"1","30155",142.490897245158,34.0387035781479,77.8873034976675,11.054097603257
"1","27997",160.720300516444,29.7075588067528,83.3668912695574,16.5240804702119
"1","29340",162.982965211141,35.2134899683357,94.1951739125041,18.9633042704843
"1","27947",156.311206305747,38.7588015337422,71.617428703002,19.4667669101488
"1","29746",152.168973951918,37.2867627511066,70.4402673866804,12.1372187355788
"1","30131",169.202048375473,37.7504902436573,63.5196772648826,29.2012662313117
"1","27847",149.216628385461,32.051862453708,61.9809794239565,20.7205925145036
"1","26706",160.615267739996,30.3961160291631,87.0801695835032,21.1661124575027
"1","26996",178.160264771308,29.182840506371,74.1101056893404,15.8198477553944
"1","28809",157.338345296593,40.5078877768388,68.1378024424457,23.7403407280755
"1","27669",153.348930656105,32.5153137925401,80.3477809679295,25.1281324541317
"1","27955",171.150856930696,36.4429535563413,68.368243071662,11.7982169938172
"1","30178",160.311627795133,34.0444321199842,66.8025238495784,23.3773000126328
"1","26985",156.92355522172,32.0812502447436,70.132038278073,20.2712214545565
"1","26663",164.772594866191,35.4416708695239,68.4990444672617,23.2679314714916
"1","32416",161.990576447101,34.4460165906519,75.087784976417,13.7102318135908
"1","27096",157.050929402516,31.9596079521017,64.3629574150828,21.2676549721828
"1","26991",168.142295282668,29.4262889969358,70.9696485269122,18.0292330854164
"1","28938",160.4446737571,30.7857383534558,62.2502644840486,10.6444099050158
"1","26635",169.564708340799,36.1257922609573,54.4380410710283,21.5791286787428
"1","30910",145.247123821212,35.7606110887832,69.5779836722123,22.0605421941954
"1","30135",167.872579067635,32.6504478988045,69.0625492808774,28.7250727779435
"1","28503",157.960406570766,32.5991396268865,58.3297347702419,27.2059072996843
"1","31284",164.877871431469,34.7815982572161,63.8747426383222,12.2797584402113
"1","26670",160.486505536056,33.1129479724082,62.9140382472061,27.3284067105484
"1","31582",151.282777588477,39.0053055180924,64.7056913230589,15.8332777121985
"1","26636",161.302948904291,31.9919386928787,55.4122746611457,17.6656042786377
"1","29256",152.221455055928,32.3671837708441,76.865059245339,16.635447026101
"1","27268",144.786094290953,36.9306223472724,67.7820760092229,16.2258213785312
"1","29357",162.193814843683,36.1677686344706,78.6141056473715,20.636919225598
"1","30855",161.340040620217,30.2668931452175,79.8482455036404,24.1041585381472
"1","27848",132.080293358188,34.2642722188201,65.9031085830989,26.4368862181004
"1","26994",161.862963688264,32.4352251838655,74.5133796667811,25.5716096865032
"1","29642",164.508411108636,29.6904445426451,80.9619945477326,19.7399619672581
"1","27914",145.274374516252,36.945567854052,59.0572888895291,18.6415988260156
"1","27809",154.190620458793,34.6759294497189,72.7988531107473,22.6971342424504
"1","27980",155.809964248909,31.9975024472853,80.1180927186953,13.0784801224636
"1","28208",163.306354566103,37.9007714745096,74.711501846997,18.2062930191652
"1","30586",150.368756749237,30.9469303061533,57.4006582120899,22.545489887819
"1","31613",163.444420266895,32.519223688772,65.7791402286028,24.5902183125813
"1","29787",152.122793323365,29.381537755693,68.922488125666,24.9058071717991
"1","29519",153.550091037157,40.5775307467653,63.761359101284,12.8092190501364
"1","29339",143.511784607455,36.7397397861387,80.6210462648685,23.1975929924332
"1","32125",150.389527327299,32.2070595200715,66.3557865861021,25.8610501634024
"1","29808",144.931550419169,31.8705301594481,68.4495993888233,18.5089615424195
"1","27319",160.953719299062,40.4419740276104,69.4359488182197,20.7582366236837
"1","28811",154.315598789373,34.1928076154418,73.1598845090301,18.6922973194304
"1","28202",156.493855709128,30.2420668607889,69.595549113516,12.81595047478
"1","26986",155.432173057635,27.5184736814031,70.5141171632379,19.2261206783908
"1","30537",154.324978667076,31.2824935550774,72.659912984758,16.7516600856902
"1","30801",138.837600077526,31.7545351806438,75.0248777896529,21.8647321676292
"1","31224",155.538518425652,35.6818986761153,55.0111706170669,16.6841288179663
"1","31989",156.628494622021,33.1092972463743,67.0421919787538,21.833243336047
"1","26629",146.52629127091,32.3730671241609,58.7849461234078,21.4311618291703
"1","31917",160.953210037838,32.6601795889152,70.2068413426224,16.6394496853111
"1","29582",158.780267478274,28.0077278511401,82.2615571927842,17.8273844320176
"1","28806",144.935939407055,32.9561013303298,74.262493419625,19.7678669226067
"1","28550",159.713958070641,28.4698093049628,70.6022152864197,22.812392615074
"1","29094",153.877837632172,33.4866546672638,75.1309623972742,15.1342943605266
"1","26682",165.068561419512,23.8657154507927,80.8386417639982,6.27339584066862
"1","29341",157.46836461848,36.1798430218514,81.9837701988346,8.91468335341582
"1","27924",158.738983252089,34.9144132939822,63.2906070118414,12.7353246998063
"1","29063",144.29193867567,37.1279299366504,78.418172433563,15.8774893393845
"1","26827",157.301539466914,33.0287639134329,77.7992812903519,24.7739291672289
"1","26631",164.782119790592,32.5103673993038,52.9288264806915,20.3851312619463
"1","26806",149.35463521608,33.3543743720904,70.7898402765556,29.9535035708963
"1","28830",157.659989172892,35.2265139323894,66.065809742466,24.5742417994521
"1","28383",148.948729669853,34.9372930546605,73.4469740556443,19.2873576249474
"1","31293",154.88841428125,27.8016769646631,68.8974313801031,31.7387838431109
"1","28258",156.134814439475,33.120616587933,62.0452071741971,21.7014462700444
"1","30851",152.914176509961,35.0107947861317,85.6090508215032,23.1456906066988
"1","31144",153.302205945957,33.9633636453146,66.8268992224504,16.2673274715976
"1","28081",145.011666806026,33.0348003312725,66.750157795333,16.1767365302012
"1","29545",152.692560267206,30.7812685935497,62.9182484162319,17.163900128687
"1","28082",151.498311091355,31.7003861433714,67.0260194082283,19.5195355968545
"1","30571",164.215045946342,27.5289855339931,81.9107567191008,18.043127868471
"1","30547",172.511084432303,31.5920815982184,69.3459322955897,26.6427485146541
